ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM	REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM	1/21	14/11635	0.0249880681592798	0.181073804990175	0.141188152039123	ALDH18A1	1
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	1/21	14/11635	0.0249880681592798	0.181073804990175	0.141188152039123	SLC22A4	1
PID_ERB_GENOMIC_PATHWAY	PID_ERB_GENOMIC_PATHWAY	1/21	15/11635	0.0267499862875521	0.181073804990175	0.141188152039123	C3	1
REACTOME_MISMATCH_REPAIR	REACTOME_MISMATCH_REPAIR	1/21	15/11635	0.0267499862875521	0.181073804990175	0.141188152039123	MSH3	1
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	1/21	15/11635	0.0267499862875521	0.181073804990175	0.141188152039123	ST6GAL1	1
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	1/21	15/11635	0.0267499862875521	0.181073804990175	0.141188152039123	SQSTM1	1
REACTOME_P75NTR_SIGNALS_VIA_NF_KB	REACTOME_P75NTR_SIGNALS_VIA_NF_KB	1/21	15/11635	0.0267499862875521	0.181073804990175	0.141188152039123	SQSTM1	1
WP_CANONICAL_AND_NONCANONICAL_TGFB_SIGNALING	WP_CANONICAL_AND_NONCANONICAL_TGFB_SIGNALING	1/21	16/11635	0.0285088718545025	0.181073804990175	0.141188152039123	MAPK9	1
BIOCARTA_LAIR_PATHWAY	BIOCARTA_LAIR_PATHWAY	1/21	17/11635	0.0302647298191341	0.181073804990175	0.141188152039123	C3	1
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE	WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE	1/21	17/11635	0.0302647298191341	0.181073804990175	0.141188152039123	C3	1
WP_INSULIN_SIGNALING	WP_INSULIN_SIGNALING	2/21	154/11635	0.031004574850744	0.181073804990175	0.141188152039123	PTPRF/MAPK9	2
BIOCARTA_COMP_PATHWAY	BIOCARTA_COMP_PATHWAY	1/21	18/11635	0.0320175651327679	0.181073804990175	0.141188152039123	C3	1
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	1/21	18/11635	0.0320175651327679	0.181073804990175	0.141188152039123	PTPRF	1
WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS	WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS	1/21	18/11635	0.0320175651327679	0.181073804990175	0.141188152039123	ALDH18A1	1
WP_COMPLEMENT_ACTIVATION	WP_COMPLEMENT_ACTIVATION	1/21	19/11635	0.0337673827390529	0.181073804990175	0.141188152039123	C3	1
REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	1/21	20/11635	0.0355141875739773	0.181073804990175	0.141188152039123	SQSTM1	1
REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	REACTOME_RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES	1/21	20/11635	0.0355141875739773	0.181073804990175	0.141188152039123	PTPRF	1
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	1/21	20/11635	0.0355141875739773	0.181073804990175	0.141188152039123	ST6GAL1	1
WP_BMP_SIGNALING_PATHWAY_IN_EYELID_DEVELOPMENT	WP_BMP_SIGNALING_PATHWAY_IN_EYELID_DEVELOPMENT	1/21	20/11635	0.0355141875739773	0.181073804990175	0.141188152039123	MAPK9	1
WP_GLOBO_SPHINGOLIPID_METABOLISM	WP_GLOBO_SPHINGOLIPID_METABOLISM	1/21	20/11635	0.0355141875739773	0.181073804990175	0.141188152039123	ST6GAL1	1
WP_RAS_SIGNALING	WP_RAS_SIGNALING	2/21	170/11635	0.037159668435192	0.181073804990175	0.141188152039123	RAPGEF5/MAPK9	2
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	1/21	21/11635	0.0372579845658797	0.181073804990175	0.141188152039123	MSH3	1
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	1/21	21/11635	0.0372579845658797	0.181073804990175	0.141188152039123	C3	1
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	1/21	21/11635	0.0372579845658797	0.181073804990175	0.141188152039123	MAPK9	1
WP_ESTROGEN_SIGNALING_PATHWAY	WP_ESTROGEN_SIGNALING_PATHWAY	1/21	22/11635	0.038998778635461	0.184044156433765	0.143504215542897	MAPK9	1
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	1/21	23/11635	0.0407365746957946	0.184044156433765	0.143504215542897	ST6GAL1	1
WP_16P112_DISTAL_DELETION_SYNDROME	WP_16P112_DISTAL_DELETION_SYNDROME	1/21	23/11635	0.0407365746957946	0.184044156433765	0.143504215542897	C3	1
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	2/21	184/11635	0.0429013111100032	0.184044156433765	0.143504215542897	C3/SLC22A4	2
WP_CIRCADIAN_RHYTHM_RELATED_GENES	WP_CIRCADIAN_RHYTHM_RELATED_GENES	2/21	185/11635	0.0433236206951621	0.184044156433765	0.143504215542897	MAPK9/RAI1	2
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	2/21	188/11635	0.0446000669123072	0.184044156433765	0.143504215542897	EFNA5/SLC38A1	2
REACTOME_MITOPHAGY	REACTOME_MITOPHAGY	1/21	26/11635	0.045932023837876	0.184044156433765	0.143504215542897	SQSTM1	1
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	1/21	26/11635	0.045932023837876	0.184044156433765	0.143504215542897	C3	1
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	2/21	193/11635	0.0467588138943612	0.184044156433765	0.143504215542897	RAPGEF5/SYNPO	2
PID_INTEGRIN2_PATHWAY	PID_INTEGRIN2_PATHWAY	1/21	27/11635	0.0476578768398055	0.184044156433765	0.143504215542897	C3	1
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN	REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN	1/21	28/11635	0.0493807562838413	0.184044156433765	0.143504215542897	ST6GAL1	1
REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS	REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS	1/21	28/11635	0.0493807562838413	0.184044156433765	0.143504215542897	ST6GAL1	1
WP_CANNABINOID_RECEPTOR_SIGNALING	WP_CANNABINOID_RECEPTOR_SIGNALING	1/21	28/11635	0.0493807562838413	0.184044156433765	0.143504215542897	MAPK9	1
PID_CD40_PATHWAY	PID_CD40_PATHWAY	1/21	29/11635	0.0511006670375277	0.184044156433765	0.143504215542897	MAPK9	1
PID_NEPHRIN_NEPH1_PATHWAY	PID_NEPHRIN_NEPH1_PATHWAY	1/21	29/11635	0.0511006670375277	0.184044156433765	0.143504215542897	MAPK9	1
WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING	WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING	1/21	29/11635	0.0511006670375277	0.184044156433765	0.143504215542897	MAPK9	1
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	1/21	30/11635	0.0528176139608616	0.184044156433765	0.143504215542897	MAPK9	1
PID_IL1_PATHWAY	PID_IL1_PATHWAY	1/21	31/11635	0.0545316019063007	0.184044156433765	0.143504215542897	SQSTM1	1
PID_IL12_STAT4_PATHWAY	PID_IL12_STAT4_PATHWAY	1/21	31/11635	0.0545316019063007	0.184044156433765	0.143504215542897	MAPK9	1
PID_WNT_NONCANONICAL_PATHWAY	PID_WNT_NONCANONICAL_PATHWAY	1/21	31/11635	0.0545316019063007	0.184044156433765	0.143504215542897	MAPK9	1
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	1/21	31/11635	0.0545316019063007	0.184044156433765	0.143504215542897	MAPK9	1
WP_CELL_MIGRATION_AND_INVASION_THROUGH_P75NTR	WP_CELL_MIGRATION_AND_INVASION_THROUGH_P75NTR	1/21	31/11635	0.0545316019063007	0.184044156433765	0.143504215542897	EFNA5	1
REACTOME_SIALIC_ACID_METABOLISM	REACTOME_SIALIC_ACID_METABOLISM	1/21	32/11635	0.0562426357187765	0.184688655130577	0.144006748639826	ST6GAL1	1
SIG_CD40PATHWAYMAP	SIG_CD40PATHWAYMAP	1/21	32/11635	0.0562426357187765	0.184688655130577	0.144006748639826	MAPK9	1
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	1/21	33/11635	0.0579507202357035	0.187760333563679	0.14640181954283	SLC38A1	1
WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	1/21	34/11635	0.0596558602869928	0.190741763812358	0.148726521491118	MAPK9	1
WP_ATM_SIGNALING_PATHWAY	WP_ATM_SIGNALING_PATHWAY	1/21	35/11635	0.0613580606950581	0.19115395831922	0.14904792071674	MAPK9	1
WP_CAMKK2_PATHWAY	WP_CAMKK2_PATHWAY	1/21	35/11635	0.0613580606950581	0.19115395831922	0.14904792071674	SQSTM1	1
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_MAPK_SIGNALING	WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_MAPK_SIGNALING	1/21	36/11635	0.0630573262748348	0.191536628559811	0.149346299071977	MAPK9	1
WP_NEOVASCULARISATION_PROCESSES	WP_NEOVASCULARISATION_PROCESSES	1/21	36/11635	0.0630573262748348	0.191536628559811	0.149346299071977	MAPK9	1
PID_FAS_PATHWAY	PID_FAS_PATHWAY	1/21	37/11635	0.0647536618337816	0.194260985501345	0.15147055399715	MAPK9	1
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	2/21	234/11635	0.0658414644936031	0.19511555941397	0.152136888431945	SLC22A4/SLC38A1	2
PID_EPHB_FWD_PATHWAY	PID_EPHB_FWD_PATHWAY	1/21	39/11635	0.0681375620817373	0.198533802561559	0.154802185233184	EFNA5	1
WP_TNF_RELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING_PATHWAY	WP_TNF_RELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING_PATHWAY	1/21	40/11635	0.0698251363484054	0.198533802561559	0.154802185233184	MAPK9	1
PID_ERBB2_ERBB3_PATHWAY	PID_ERBB2_ERBB3_PATHWAY	1/21	42/11635	0.0731915570555419	0.198533802561559	0.154802185233184	MAPK9	1
REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS	REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS	1/21	43/11635	0.0748704130291324	0.198533802561559	0.154802185233184	ST6GAL1	1
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	1/21	44/11635	0.0765463724258186	0.198533802561559	0.154802185233184	EFNA5	1
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS	1/21	44/11635	0.0765463724258186	0.198533802561559	0.154802185233184	ST6GAL1	1
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS	1/21	44/11635	0.0765463724258186	0.198533802561559	0.154802185233184	MAPK9	1
PID_TNF_PATHWAY	PID_TNF_PATHWAY	1/21	44/11635	0.0765463724258186	0.198533802561559	0.154802185233184	SQSTM1	1
REACTOME_HEME_SIGNALING	REACTOME_HEME_SIGNALING	1/21	44/11635	0.0765463724258186	0.198533802561559	0.154802185233184	RAI1	1
WP_NEPHROTIC_SYNDROME	WP_NEPHROTIC_SYNDROME	1/21	45/11635	0.0782194399936782	0.198533802561559	0.154802185233184	SYNPO	1
WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY	WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY	1/21	46/11635	0.0798896204734135	0.198533802561559	0.154802185233184	MAPK9	1
WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS	WP_TRANSLATION_INHIBITORS_IN_CHRONICALLY_ACTIVATED_PDGFRA_CELLS	1/21	46/11635	0.0798896204734135	0.198533802561559	0.154802185233184	MAPK9	1
PID_FOXO_PATHWAY	PID_FOXO_PATHWAY	1/21	47/11635	0.0815569185983648	0.198533802561559	0.154802185233184	MAPK9	1
REACTOME_SARS_COV_1_INFECTION	REACTOME_SARS_COV_1_INFECTION	1/21	47/11635	0.0815569185983648	0.198533802561559	0.154802185233184	ST6GAL1	1
WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS	WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS	1/21	47/11635	0.0815569185983648	0.198533802561559	0.154802185233184	MAPK9	1
WP_STRUCTURAL_PATHWAY_OF_INTERLEUKIN_1_IL1	WP_STRUCTURAL_PATHWAY_OF_INTERLEUKIN_1_IL1	1/21	47/11635	0.0815569185983648	0.198533802561559	0.154802185233184	MAPK9	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1/21	48/11635	0.0832213390945188	0.198533802561559	0.154802185233184	SBNO2	1
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	1/21	48/11635	0.0832213390945188	0.198533802561559	0.154802185233184	ALDH18A1	1
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	1/21	50/11635	0.0865415660676877	0.198533802561559	0.154802185233184	C3	1
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	1/21	50/11635	0.0865415660676877	0.198533802561559	0.154802185233184	SQSTM1	1
PID_CD8_TCR_DOWNSTREAM_PATHWAY	PID_CD8_TCR_DOWNSTREAM_PATHWAY	1/21	51/11635	0.0881973819600123	0.198533802561559	0.154802185233184	MAPK9	1
PID_RAC1_PATHWAY	PID_RAC1_PATHWAY	1/21	51/11635	0.0881973819600123	0.198533802561559	0.154802185233184	MAPK9	1
WP_SYNAPTIC_VESICLE_PATHWAY	WP_SYNAPTIC_VESICLE_PATHWAY	1/21	51/11635	0.0881973819600123	0.198533802561559	0.154802185233184	SLC38A1	1
WP_WNT_SIGNALING_PATHWAY_NETPATH	WP_WNT_SIGNALING_PATHWAY_NETPATH	1/21	51/11635	0.0881973819600123	0.198533802561559	0.154802185233184	MAPK9	1
PID_NFAT_3PATHWAY	PID_NFAT_3PATHWAY	1/21	52/11635	0.0898503390541806	0.198533802561559	0.154802185233184	MAPK9	1
PID_IL2_1PATHWAY	PID_IL2_1PATHWAY	1/21	53/11635	0.0915004420395779	0.198533802561559	0.154802185233184	MAPK9	1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1/21	54/11635	0.093147695598304	0.198533802561559	0.154802185233184	MAPK9	1
WP_COMPLEMENT_AND_COAGULATION_CASCADES	WP_COMPLEMENT_AND_COAGULATION_CASCADES	1/21	54/11635	0.093147695598304	0.198533802561559	0.154802185233184	C3	1
PID_ATF2_PATHWAY	PID_ATF2_PATHWAY	1/21	55/11635	0.0947921044051805	0.198533802561559	0.154802185233184	MAPK9	1
WP_TGFBETA_RECEPTOR_SIGNALING	WP_TGFBETA_RECEPTOR_SIGNALING	1/21	55/11635	0.0947921044051805	0.198533802561559	0.154802185233184	MAPK9	1
PID_P53_REGULATION_PATHWAY	PID_P53_REGULATION_PATHWAY	1/21	57/11635	0.0980724064263475	0.198533802561559	0.154802185233184	MAPK9	1
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	1/21	57/11635	0.0980724064263475	0.198533802561559	0.154802185233184	PHYKPL	1
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	1/21	57/11635	0.0980724064263475	0.198533802561559	0.154802185233184	ST6GAL1	1
WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY	WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_RLR_PATHWAY	1/21	57/11635	0.0980724064263475	0.198533802561559	0.154802185233184	MAPK9	1
PID_FAK_PATHWAY	PID_FAK_PATHWAY	1/21	58/11635	0.0997083089539897	0.198533802561559	0.154802185233184	MAPK9	1
WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION	WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION	1/21	58/11635	0.0997083089539897	0.198533802561559	0.154802185233184	MAPK9	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1/21	59/11635	0.101341385356509	0.198533802561559	0.154802185233184	MAPK9	1
WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS	WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS	1/21	59/11635	0.101341385356509	0.198533802561559	0.154802185233184	MAPK9	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1/21	60/11635	0.1029716402725	0.198533802561559	0.154802185233184	MAPK9	1
PID_TRKR_PATHWAY	PID_TRKR_PATHWAY	1/21	60/11635	0.1029716402725	0.198533802561559	0.154802185233184	SQSTM1	1
WP_ONCOSTATIN_M_SIGNALING_PATHWAY	WP_ONCOSTATIN_M_SIGNALING_PATHWAY	1/21	60/11635	0.1029716402725	0.198533802561559	0.154802185233184	MAPK9	1
PID_ERA_GENOMIC_PATHWAY	PID_ERA_GENOMIC_PATHWAY	1/21	61/11635	0.104599078333345	0.198533802561559	0.154802185233184	C3	1
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	1/21	61/11635	0.104599078333345	0.198533802561559	0.154802185233184	ST6GAL1	1
WP_TYROBP_CAUSAL_NETWORK	WP_TYROBP_CAUSAL_NETWORK	1/21	61/11635	0.104599078333345	0.198533802561559	0.154802185233184	C3	1
PID_RB_1PATHWAY	PID_RB_1PATHWAY	1/21	62/11635	0.106223704163222	0.198533802561559	0.154802185233184	MAPK9	1
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	2/21	311/11635	0.107253069660869	0.198533802561559	0.154802185233184	MAPK9/MSH3	2
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1/21	63/11635	0.107845522379118	0.198533802561559	0.154802185233184	C3	1
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	1/21	63/11635	0.107845522379118	0.198533802561559	0.154802185233184	C3	1
REACTOME_SARS_COV_2_INFECTION	REACTOME_SARS_COV_2_INFECTION	1/21	63/11635	0.107845522379118	0.198533802561559	0.154802185233184	ST6GAL1	1
WP_AGERAGE_PATHWAY	WP_AGERAGE_PATHWAY	1/21	63/11635	0.107845522379118	0.198533802561559	0.154802185233184	MAPK9	1
REACTOME_INTERLEUKIN_17_SIGNALING	REACTOME_INTERLEUKIN_17_SIGNALING	1/21	65/11635	0.11108075440102	0.201357978745935	0.157004271926655	MAPK9	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1/21	66/11635	0.112694177405132	0.201357978745935	0.157004271926655	MAPK9	1
