avg_log2FC	pct.1	pct.2	Gene
-0.00384018631180197	0.012	0.012	AWAT1
-0.00244881796009408	0.008	0.008	P2RY4
-0.0058211146799026	0.02	0.02	ARR3
-0.00271037409564734	0.01	0.01	RAB41
0.00743389159229249	0.094	0.072	PDZD11
-0.0541323586989073	0.174	0.169	KIF4A
-0.0124102097317469	0.048	0.048	GDPD2
0.107806072250093	0.361	0.235	DLG3
-0.00760990845116732	0.209	0.162	TEX11
-0.00360777063652254	0.013	0.013	SLC7A3
-0.00451068491409012	0.205	0.173	SNX12
-0.056922508861961	0.118	0.134	FOXO4
-0.0369029323927506	0.014	0.036	CXorf65
-0.0746252441278427	0.02	0.063	IL2RG
-0.0537695312650564	0.124	0.135	MED12
-0.0578262971340256	0.071	0.095	NLGN3
0.038023491759548	0.117	0.067	GJB1
-0.0021199600443419	0.19	0.156	ZMYM3
-0.00314981988837479	0.15	0.126	NONO
-0.00911441362280737	0.022	0.024	ITGB1BP2
-0.0801815923731535	0.331	0.314	TAF1
-0.0672639288888907	0.206	0.207	OGT
-0.0257594792004501	0.077	0.077	ACRC
-0.0233072688275073	0.056	0.058	CXCR3
-0.00687189491975759	0.025	0.026	RP11-402P6.15
1.48260227044291e-05	0	0	CXorf49
0	0	0	CXorf49B
-0.132525590627885	0.501	0.459	NHSL2
0.0150073482096643	0.115	0.091	RGAG4
-0.0155910228080807	0.391	0.334	PIN4
-0.0126942979999131	0.111	0.1	ERCC6L
-0.0426061141196934	0.133	0.135	RPS4X
-0.0362870066642805	0.041	0.058	CITED1
-0.0682856664241464	0.233	0.224	HDAC8
0.0779606557050742	0.214	0.129	PHKA1
0.000148893327631374	0.001	0.001	DMRTC1B
0	0	0	RP1-172N19.1
0.000150999523107544	0	0	RP11-69A21.2
-0.000425004071798143	0.002	0.002	DMRTC1
-0.000115881926378295	0	0	RP11-192I24.1
0	0	0	LINC00684
-0.000217154613130306	0	0.001	PABPC1L2B
-0.000159855200513321	0.001	0.001	PABPC1L2A
-0.0078426608641144	0.005	0.01	NAP1L6
-0.00781359189043789	0.027	0.03	NAP1L2
-0.00198131966492436	0.01	0.01	CDX4
0.0146368135113562	0.168	0.126	CHIC1
-0.000809360104142748	0.003	0.004	ZCCHC13
0.0896567302256764	0.312	0.204	SLC16A2
-0.00726835943451953	0.16	0.139	RLIM
-0.0507836708428875	0.12	0.124	KIAA2022
-0.0211192713934138	0.113	0.105	ABCB7
-0.0266237442290872	0.111	0.109	UPRT
-0.0458141205905988	0.084	0.096	ZDHHC15
-0.00302699549270446	0.006	0.007	MAGEE2
-0.00664861315130916	0.104	0.091	PBDC1
-0.00369207270259182	0.071	0.06	MAGEE1
-0.0146410498339476	0.025	0.031	FGF16
-0.113506182189857	0.256	0.274	ATRX
-0.0376508621417073	0.182	0.17	MAGT1
-0.00795442971852256	0.094	0.085	COX7B
-0.100945336559879	0.182	0.208	ATP7A
-0.00163732213315417	0.003	0.004	PGAM4
0.059295402398349	0.353	0.262	PGK1
0.0709817039563267	0.176	0.101	TAF9B
-0.0629245639418365	0.043	0.077	CYSLTR1
-0.005145155328872	0.011	0.013	ZCCHC5
-0.00650518171059189	0.011	0.014	LPAR4
-0.0595985350353155	0.02	0.053	P2RY10
-0.00229312145362147	0.006	0.007	GPR174
-0.0293177095767412	0.025	0.041	ITM2A
-0.00703671785541387	0.022	0.021	TBX22
-0.00915348208948531	0.075	0.065	FAM46D
-0.0168291051908319	0.263	0.226	BRWD3
-0.00394925835727666	0.206	0.174	HMGN5
-0.0741137940869683	0.137	0.156	SH3BGRL
-0.00784417183618576	0.014	0.017	POU3F4
-0.0039865428388246	0.015	0.015	CYLC1
-0.0519418210148798	0.097	0.113	RPS6KA6
-0.0532693457778224	0.162	0.164	HDX
0.000950602990795801	0.148	0.12	APOOL
-0.00489037244442725	0.017	0.017	SATL1
0.0277034156412913	0.08	0.048	ZNF711
0.00389307495798853	0.076	0.06	POF1B
-0.059734968871057	0.215	0.207	CHM
-0.00429018989348154	0.114	0.094	KLHL4
-0.00168988330291308	0.009	0.008	CPXCR1
-0.000127380049046009	0.001	0.001	TGIF2LX
-0.0128375439040855	0.01	0.019	PABPC5
-0.00708533071157823	0.037	0.035	NAP1L3
-0.0118038659617748	0.054	0.052	FAM133A
-0.000480200541517999	0.005	0.004	RPA4
-0.0257475770309523	0.116	0.107	PCDH19
0.00684023967932081	0.039	0.025	TNMD
0.0214250095842441	0.069	0.043	TSPAN6
-0.00699954977147497	0.094	0.081	SRPX2
0.028241763015147	0.134	0.091	SYTL4
-0.00430725303516272	0.106	0.09	CSTF2
-0.00520147262476655	0.029	0.027	NOX1
-0.0133765615510359	0.028	0.031	XKRX
0.0229246970611845	0.056	0.032	ARL13A
-0.00880453283521074	0.168	0.14	TRMT2B
-0.00784903714529882	0.028	0.029	TMEM35A
-0.00637970707446803	0.189	0.158	CENPI
-0.0204925820493993	0.059	0.057	DRP2
-0.00831148078482234	0.026	0.026	TAF7L
0.0135783266601275	0.094	0.068	TIMM8A
-0.0568056192430827	0.129	0.142	BTK
-0.0101015652743601	0.093	0.084	RPL36A
-0.0383905918995205	0.239	0.219	RPL36A-HNRNPH2
-0.0266949471072971	0.163	0.151	GLA
-0.0167549833127774	0.161	0.143	HNRNPH2
-0.0502649641376937	0.165	0.163	ARMCX4
0.00338401253347566	0.067	0.053	ARMCX1
-0.00240821635903939	0.085	0.073	ARMCX6
-0.00623569281226649	0.098	0.088	ARMCX3
0.0252134414252065	0.101	0.066	ARMCX2
-0.00486228184611678	0.019	0.018	NXF5
0.00631322725390657	0.165	0.129	ZMAT1
-0.0091970381755939	0.008	0.013	TCEAL2
-0.00177524236877977	0.006	0.007	TCEAL6
0.0338777845888145	0.09	0.05	BEX5
-0.000214747148720777	0.001	0.001	NXF2
-0.000302927808169349	0.001	0.001	NXF2B
-0.000293304145556291	0.001	0.001	TCP11X2
0.00342300047991386	0.037	0.029	TMSB15A
0.00100744401188035	0.078	0.064	ARMCX5
-0.013265257991365	0.074	0.069	GPRASP1
0.020729259494206	0.079	0.05	GPRASP2
-0.0276884042772067	0.064	0.069	BHLHB9
-0.000286915559835709	0.004	0.004	RAB40AL
-0.00560258831376574	0.014	0.015	BEX1
-0.00784723049195249	0.027	0.025	NXF3
-0.0227660182947213	0.068	0.075	BEX4
0.0101391089868864	0.082	0.063	TCEAL8
-0.00386903656610852	0.012	0.013	TCEAL5
0.0133925970369706	0.064	0.042	BEX2
-0.0047089051013359	0.007	0.01	TCEAL7
0.0357836551239283	0.076	0.039	TCEAL9
0.0349157895454263	0.071	0.036	BEX3
-0.0033948568355707	0.02	0.018	RAB40A
0.0114811329027245	0.07	0.052	TCEAL4
0.004891317906808	0.149	0.124	TCEAL3
0.0264717930378537	0.104	0.072	TCEAL1
0.0404930449522232	0.265	0.197	MORF4L2
-0.0118395895404823	0.045	0.042	GLRA4
-0.00205593774525869	0.012	0.011	TMEM31
-0.00912173067283053	0.03	0.03	PLP1
0.0200817879819483	0.063	0.038	RAB9B
0.00760085447183778	0.113	0.087	TMSB15B
-0.00178539238598013	0.006	0.006	H2BFWT
-0.000630543607844615	0.006	0.005	H2BFM
-5.6773469780036e-05	0	0	RP11-722G7.1
-0.0233175780732898	0.205	0.181	SLC25A53
-0.0174192535885456	0.053	0.056	ZCCHC18
0.05826456429721	0.222	0.149	FAM199X
-0.00325104738352566	0.013	0.013	ESX1
0.000645933794990278	0.009	0.006	TEX13A
-0.0457109584702767	0.095	0.103	NRK
0.00608818524737944	0.026	0.016	SERPINA7
0.0191164655360842	0.061	0.04	MUM1L1
0.0706106678986809	0.169	0.094	CXorf57
0.141697092370714	0.239	0.108	RNF128
0.14052986635923	0.229	0.109	TBC1D8B
0.373705777870149	0.532	0.263	MORC4
0.0142061463530337	0.038	0.022	RIPPLY1
0.238306083281119	0.308	0.115	CLDN2
-0.00942138621458932	0.091	0.081	RBM41
0.0510051925409653	0.154	0.092	NUP62CL
0.0333012938765387	0.105	0.062	PIH1D3
-0.0215723634134507	0.128	0.112	FRMPD3
0.00128624663048135	0.186	0.153	PRPS1
0.27648686481032	0.624	0.426	TSC22D3
0.101641147977857	0.197	0.104	NCBP2L
0.0174941770852266	0.181	0.133	MID2
-0.000943091474427055	0.008	0.007	TEX13B
-0.0122499439559867	0.036	0.037	VSIG1
0.0135360256258014	0.172	0.135	PSMD10
-0.00709144834801684	0.214	0.181	ATG4A
0.00563771693383575	0.275	0.211	COL4A6
-0.0407964681135464	0.15	0.138	COL4A5
-0.00457755981672977	0.012	0.013	RP6-24A23.6
-0.00859955551342781	0.023	0.025	IRS4
-0.00806443344582131	0.114	0.094	GUCY2F
0.00400865212634441	0.134	0.11	NXT2
-0.0102630969692966	0.01	0.015	KCNE5
-0.104032217986222	0.242	0.254	ACSL4
-0.112808075514344	0.405	0.39	TMEM164
-0.0408505450188913	0.363	0.314	AMMECR1
-0.0224751672204412	0.165	0.144	RGAG1
-0.0125033084424173	0.136	0.115	CHRDL1
-0.0238879701265347	0.242	0.2	PAK3
0.0154195846596199	0.06	0.036	CAPN6
0.0605486648820177	0.17	0.095	DCX
-0.002619412185153	0.015	0.013	LINC00890
-0.00806564322592224	0.218	0.18	ALG13
-0.00240241063460328	0.297	0.236	TRPC5
-0.00317697530147722	0.033	0.028	TRPC5OS
-0.00054927271065855	0.005	0.005	ZCCHC16
-0.00169521007396857	0.098	0.08	LHFPL1
0.149882076468919	0.37	0.223	AMOT
-0.0543573688632626	0.133	0.136	HTR2C
-0.00156648762716982	0.013	0.012	IL13RA2
-0.0288701332673123	0.081	0.08	LRCH2
-0.0039604500368373	0.01	0.01	RBMXL3
-0.00395912718631883	0.019	0.018	LUZP4
-0.00279940874853582	0.184	0.145	PLS3
-0.00108856758623478	0.004	0.004	AGTR2
-0.00761492266336964	0.018	0.019	SLC6A14
-0.00171007586141707	0.003	0.003	CT83
-0.0180202391899741	0.208	0.171	KLHL13
-0.0214347986513845	0.281	0.243	WDR44
-0.0688839378571359	0.41	0.369	DOCK11
0.0193264669600604	0.265	0.202	IL13RA1
-0.00313065358817417	0.032	0.029	ZCCHC12
0.0397673245692791	0.276	0.199	LONRF3
-0.00482253321609412	0.009	0.011	RP13-347D8.7
-0.00559461074887002	0.097	0.079	KIAA1210
0.0461674919587016	0.174	0.115	PGRMC1
0.0881394106140488	0.246	0.154	SLC25A43
-0.00651184765966584	0.209	0.177	SLC25A5
-0.0242179814766809	0.069	0.074	CXorf56
-0.0291578972097185	0.146	0.14	UBE2A
-0.0346367506893959	0.117	0.119	NKRF
-0.330601206674418	0.221	0.342	SEPT6
-0.0197377725326855	0.077	0.075	SOWAHD
-0.015045767194232	0.131	0.119	RPL39
-0.000993915759949865	0.205	0.169	UPF3B
-3.31665861442176e-05	0.119	0.099	RNF113A
-0.000577328027249163	0.128	0.107	NDUFA1
-0.027090864936879	0.033	0.045	AKAP14
-0.0114222383603186	0.084	0.079	NKAP
-3.44289799402195e-05	0	0	RHOXF2B
-0.00240642866465681	0.011	0.01	RHOXF1
-2.37193517329306e-05	0	0	RHOXF2
0.0124059743344854	0.152	0.12	ZBTB33
-0.113428312695444	0.116	0.161	TMEM255A
-0.0056529736720471	0.04	0.036	ATP1B4
0.0464949463619729	0.211	0.145	LAMP2
0.0179349465728629	0.258	0.206	CUL4B
-0.00734845297805004	0.1	0.089	MCTS1
0.0228521103616083	0.197	0.149	C1GALT1C1
-0.000183820934394426	0.003	0.003	CT47B1
0	0	0	RP1-321E8.5
0	0	0	CT47A12
0	0	0	CT47A11
0	0	0	CT47A10
0	0	0	CT47A9
0	0	0	CT47A8
0	0	0	CT47A7
-3.51056269915216e-05	0	0	CT47A6
0	0	0	CT47A5
0	0	0	CT47A4
0	0	0	CT47A3
0	0	0	CT47A2
