chr	start	end	value
chr12	117141991	117190471	-0.742850910568083
chr14	52857268	52952435	-0.204371593449997
chr13	101710804	102402457	-1.41397496605706
chr2	163593396	163736012	-0.505490404243231
chr3	58008398	58172251	-0.522253189561597
chr15	32765544	33194714	-0.473561648607086
chr1	171185249	171212686	-0.406338333085761
chr4	158769026	158908050	-0.680072912485334
chr4	78057323	78544269	-0.475065096842033
chr13	38687077	38887131	-0.464743624252052
chr9	83242990	83538546	-1.24129923334884
chr10	13643706	14462142	-0.964992913541869
chr14	51489100	51730727	-0.535590692553133
chr21	46136160	46155579	-1.15348190563182
chr4	143336762	143474568	-0.240718094791725
chr5	42423439	42721878	-0.705059046227607
chr1	53506237	53738106	-0.513808978479579
chr11	58640426	58731974	-0.386618769028322
chr7	93591573	93911265	-0.648308439185621
chr10	99396870	99430624	-0.0836862289607202
chr13	93226807	94408020	-1.3334953767355
chr14	66507407	67181803	-0.921752365225231
chr2	174431571	174487094	-0.536817249173757
chr4	89236383	89307800	-0.481121901807797
chr5	151020438	151028992	0.0242505198356677
chr11	105609994	105982092	-0.827237609014522
chr7	77310751	77416349	-0.265583414180356
chr10	104268873	104304950	-0.25966699591472
chr2	188291669	188595931	-0.370642779005306
chr10	91409280	91514829	-0.194149103336143
chr14	61695513	61748259	-0.020647560893204
chr2	137964020	138016364	-0.39078946447847
chr2	10302889	10427617	-0.482066781753764
chr19	48813018	48836510	-0.283386715546389
chr16	67164681	67169945	-0.791052620886785
chr15	98648539	98964530	-1.07138149399202
chr4	57030773	57110385	-0.145923212766356
chr2	212999691	213152427	-0.404392071049291
chr1	67307364	67398724	-0.794244060273885
chr10	119726042	119829147	-0.445261017261617
chr12	66767	178455	-0.692169601059215
chr1	234604269	234610178	-0.236386306118179
chr5	52787916	52959209	-0.744257417313885
chr2	172427354	172506459	-0.279543547531585
chr12	26335352	26833194	-0.504112537642882
chr1	13892792	15118043	-0.525545153020527
chr19	50311937	50333515	-0.257985311133134
chr21	38155549	38307357	0.0347266391934955
chr2	154697855	154858354	-0.876330756998656
chrY	19703865	19744939	-0.00130046080027379
chr8	135457456	135656722	-0.546524529893762
chr2	27086747	27100762	-0.31823628749381
chr8	29067278	29263124	-0.361549743141613
chr20	16272104	16573448	-0.414937437033702
chr13	73686089	74133929	-0.844033395342325
chr10	3775996	3785281	-0.27657041575953
chr9	70384604	70414657	-0.448559282605987
chr14	55559072	55701526	-0.300242012567806
chr14	50237563	50312229	-0.397286753705156
chr18	5954706	6415237	-0.518943409752274
chr6	112107931	112254939	0.260085425691817
chr19	35124513	35142451	-0.530433745272691
chr14	92703807	92748679	-0.256897064161374
chr5	38474668	38608354	-0.318623511855377
chr12	80792520	80937934	-1.03876848383789
chr10	89213569	89414557	-0.643251841222572
chr15	58410569	58569844	0.0151619788221762
chrNA	NA	NA	-0.56052589728173
chr12	12116025	12267044	-0.331714541690698
chr15	99251362	99390729	-0.259513870901563
chr1	46261196	46303616	-0.737222415582409
chr11	65538559	65558930	-0.337160735191696
chr9	12775020	12823060	-0.358778336045265
chr16	79585843	79600737	-0.51404136023283
chr3	65353525	66038834	-0.440699209040939
chr1	113390515	113685923	-0.375656687570236
chrX	43654907	43746824	0.0539009054682553
chr12	116548105	116576606	-0.448633154704471
chr6	136557046	136792477	-0.353369502709312
chr18	34976928	35143470	-0.160487849973504
chr17	45894527	46028334	-0.60144681034755
chr3	187217282	187291980	-0.699545759372351
chr2	111898607	112029561	-0.365151407755077
chr7	141907813	142106747	-0.389113085213716
chr10	72367327	72626191	-0.399699364381721
chr22	50486784	50490648	-0.627174551790101
chr10	21524646	21743630	-0.243894344749336
chr7	73593194	73624543	-0.387003924986903
chr8	10054292	10428891	-0.697595808462108
chr8	124550784	124728473	-0.935203465655686
chr10	110207605	110287365	-0.198574077070385
chr2	132671788	133568463	-0.671353058341399
chr6	11183298	11382348	-0.287683137683716
chr1	71395943	72282539	-1.79995758641793
chr15	73051710	73305205	0.0524957998977902
chr20	25452697	25585531	-0.277984926200712
chrY	14522573	14845650	0.289341590803992
chr14	26443090	26598033	-0.811526144728189
chr4	148078762	148444698	-0.502580516049638
chr9	124517275	124771311	-0.317438281044096
chr4	40749925	40811184	-0.319585871231301
chr12	95657807	95791189	-0.634055891385507
chr9	84668551	85027054	-1.37120198394044
chr12	93377883	93408146	-0.23476593746496
chr14	73275107	73458617	-0.513356641752868
chr3	125528858	125595497	-0.222969260052847
chr12	76351797	76559809	-0.392967929660203
chr12	80099537	80380880	-0.419149303021843
chr3	189956728	190122437	-1.14591773612049
chr14	23321457	23326163	-0.141482507633559
chr15	69298912	69407780	-0.345912121902633
chr1	164555584	164899296	-0.755904949486954
chr14	70907405	71115382	-0.336228104205775
chr9	75890644	76362975	-0.124482226471539
chr8	65714334	65842322	-0.803274276991997
chr6	135851701	136195574	-0.706117078474441
chr4	156760454	156971799	-0.33099324035001
chr7	95583499	95596516	-1.05529994429093
chr5	31639131	32110932	-0.632908547078492
chr3	73382431	73624941	-1.06007023034037
chr12	118136124	118145584	-0.185394607386466
chr1	7784291	7845177	-0.48613721516473
chr10	59176643	59247774	-0.540126349678745
chr6	51615299	52087613	-1.47830328791973
chr20	8077251	8968360	-0.557445031339014
chr2	197804593	198572581	-0.239167277946786
chr2	43637260	43767987	-0.588344103815604
chr3	12287368	12434356	-0.257505886320871
chr4	23755041	23904089	-0.527255971596698
chr3	64092236	64445476	-0.577138475706345
chr17	66302613	66810743	-0.310730439708344
chr9	76611376	76906114	-0.483368785868867
chr10	16436943	16513745	0.0256681628512903
chr4	86594315	86815171	-0.396022569979346
chr10	46911396	47002488	-0.423750841252173
chr9	8314246	10613002	-0.97718778768915
chr3	61561569	62297609	-1.21530993632067
chr11	47980558	48170841	-0.639300235280596
chr4	40423267	40630875	-0.201830243605638
chr3	28574791	30010391	-0.691175385110357
chr6	46220736	46491972	-0.140012699008165
chr1	8352397	8848921	-0.351839941487501
chr12	15107783	15348675	-0.857511792097803
chr19	5993164	6199572	-0.709152893414894
chr9	3218297	3526004	-0.615002777544337
chr2	20447074	20449440	-0.812803701472372
chr6	24804282	25042170	-0.322978411991599
chr20	50586108	50691542	-0.736522222156739
chr18	61808067	61894247	-0.848510696062639
chr10	88273864	88584530	-1.00142859407383
chrY	2841602	2932000	-0.0605184141688105
chr15	76347904	76905444	-0.531939701429733
chr2	166195185	166376001	-0.917537334667482
chr12	6346843	6377730	-0.104861040256247
chr7	3301252	4269000	-0.114226684678813
chrNA	NA	NA	-0.488068455298491
chr14	94376747	94390693	-0.210564400357193
chr17	1742836	1755265	-0.0313613828699533
chr18	44680173	45068510	-1.29370733123395
chr14	99397748	99480889	-0.405881675275365
chr7	94524204	94656572	-0.392935865622707
chr1	66533267	66751139	-1.08504475001634
chr2	217730	266398	-0.480448461000587
chr4	76435229	76783253	-0.618579610090038
chr11	116843402	117098437	-0.741908333201575
chr10	89430299	89556641	-1.21372377381011
chr10	59650764	59736002	-0.774945323064114
chr6	25833066	25882286	-0.47916138172125
chr6	25754699	25781199	-0.80606617911538
chr6	46652915	46678190	-0.349276031145151
chr8	23528956	23575463	-0.544586141049416
chr7	107765467	107803225	-0.330977881426005
chr15	50182196	50236385	-0.249369664528935
chr2	113705011	113756693	-0.328588104535696
chr2	44275458	44321494	-0.341987350669575
chr17	19495385	19579034	-0.226928522843557
chr22	32043261	32113029	-0.719011356978614
chr11	26667020	26723427	-0.0346647587755298
chr12	101155493	101210238	-0.670609296636479
chr12	190077	214570	-0.479354163189285
chr12	220621	262873	-0.544022654257966
chr19	49289638	49325215	-0.140385913727188
chr5	1392794	1445440	-0.778591284657798
chr2	40097270	40611053	-0.424934296964598
chr15	91853708	92172435	-0.597170451215421
chr20	10218830	10307418	-0.698557402031647
chr10	106573663	107164706	-0.547366603406509
chr1	109309568	109397918	-0.651527177714552
chr12	23529504	24562544	-0.279904186600781
chr11	15966449	16739591	-0.386261458462698
chr4	52051304	52097299	-0.279481041314318
chr9	4553386	4666674	-0.498291927543777
chr5	148025683	148137382	-0.636820473769705
chr11	13962723	14268133	-0.529552723185571
chr4	5051480	5500994	-0.413176669756438
chr14	81260656	81436465	-1.33267075009332
chr7	40135005	40860763	-1.68880360762449
chr2	108377911	108388989	-0.496457736407612
chr8	38728186	38853028	-1.31549082933095
chr10	94402541	94536332	-0.303984679121345
chr13	75283503	75482169	-0.956668861676146
chrX	106802673	106876150	-0.36004316096785
chr10	112950247	113167678	-0.296182875807168
chrX	124375903	124963817	-0.371343633698686
chr11	78652829	79441030	-0.236291392301707
chr2	187464230	187565760	-0.870773074905929
chr1	91680343	91906335	-0.388720961459545
chr3	24117153	24495756	-0.701153273708529
chr7	11370365	11832198	-1.26802215868625
chr3	156673235	156706770	-0.134222203274039
chr4	165873237	166104457	-0.587411764580291
chr15	62390526	62844631	-0.307444839425239
chr12	26971579	27014434	-0.418778674722892
chr11	87037844	87328824	-0.513366788376618
chr17	10699015	10730023	-0.302926462131893
chr9	109015135	109119947	-0.321666269962312
chr1	2555639	2565382	-0.467245099100019
chr3	171058414	171460408	-0.302988478123029
chr12	72087266	72670758	-1.44597873092061
chr8	66126896	66175485	-0.471968421655088
chr9	70529060	71446904	-0.5469715876521
chr8	115408496	115809673	-0.68697121694195
chrX	107713221	107777342	-0.919721750184333
chr18	75210755	75289950	-0.459278931193099
chr20	52972358	53495330	-0.389762570069192
chr9	15163622	15307360	-0.504068445636721
chr6	82892390	83065841	-0.434203090250122
chr8	35235475	35796550	-1.36388851254222
chr22	24494107	24528390	-0.468707472034728
chrY	12537650	12860839	-0.0509183358234451
chrY	13234577	13480673	0.086088479400027
chr5	83471618	83582303	-0.0678935887957755
chr3	157259742	157533619	-0.102677574392741
chr13	41566835	41961120	-0.362947143232535
chr15	53513741	53762878	-0.948636527069726
chr12	10699089	10723323	-0.444924122547125
chr11	114059041	114256765	-0.15877924143836
chr9	72351413	72365235	-0.837365837007662
chrY	2935281	2982506	0.0405635799986742
chr20	47209214	47356889	-0.272732614327481
chr9	101398851	101410660	-0.440467792151439
chr2	179441982	179861612	-1.31241711021955
chr8	28345590	28402701	-0.717092367372493
chr7	88759700	89338528	-1.29871523595874
chr22	28883572	29057488	-0.697834584860092
chr1	45016399	45306209	-0.490646506253789
chr1	52842511	52894998	-0.362699122634865
